book_title,book_description,book_rating,book_price,book_authors,book_features,book_cover_url
Seçmə hekayələr. Angela Karter,"Bu hekayələrin əsasını nağıllar təşkil edir. Müəllif nağıl obrazlarına yeni həyat bəxş edir. O, iki janrın sintezindən yeni üslub yaradır. Beləliklə, yazıçıdan çox sehrbaza bənzəyir. Bəlkə, buna görə",5,5.59 AZN,Angela Karter,Yumşaq,https://static.insales-cdn.com/images/products/1/3008/745991104/medium_HEKAYE_VAXTI_Seriya_qapaqlar.jpg
Qayıqda üç adam (iti saymasaq),"“Qayıqda üç adam (iti saymasaq)” əsərinin təxminən yüz il yaşı var. Bu əsər həm çox köhnədir, həm də çox təzədir.  <span",5,7.99 AZN,Cerom Klapka Cerom,Yumşaq,https://static.insales-cdn.com/images/products/1/1483/745645515/medium_QAYIQDA_UC_ADAM_qapaq.jpg
Kölgədə qalan qəhrəmanlar,"Döyüş meydanında qalmış, uzun müddətdənsonra tapılmış, parçalanmış, tanınmazhala düşmüş cəsədlərin qarşılanması və sonmənzilə yola salınması… Övladları ilə vidalaşmaqistəyən ailələrin təsəlli edilməsi... Buailələrə “övladın şəhid oldu”",5,4.79 AZN,Seymur Kazımov,Yumşaq,https://static.insales-cdn.com/images/products/1/4344/745738488/medium_KOLGEDE_QALANLAR_qapaq.jpg
Şeytanı aldatmaq,"İnsan potensialını üzə çıxarmaqda mahir olan müəllif budəfə daha dərinə gedir. Qorxunun, təxirə salmanın, qəzəbin,qısqanclığın bizi məqsədlərimizdən necə yayındırdığına işıqtutur. Onun qələmə aldıqları uzun müddət",4,7.99 AZN,Napoleon Hill,Yumşaq,https://static.insales-cdn.com/images/products/1/7487/745856319/medium_SHEYTANI_ALDATMAQ_qapaq.png
Qızıl məbəd,Kəkələdiyi üçün ömrü boyu tənha qalan Mizoquçi atasının ölümündən sonra Qızıl Məbədin baş keşişinə əmanət edilir. Mizoquçinin məbədin gözəlliyinə aludə olması onu məhv edən bir,5,10.39 AZN,Yukio Mişima,Yumşaq,https://static.insales-cdn.com/images/products/1/2089/745859113/medium_QIZIL_MEBED_qapaq.png
Kiçik Dil Kitabı,"Dilin hər iki həftədən bir yoxa çıxması və neologizmlərin demək olar ki, hər gün ortaya çıxması ilə dilin mənşəyi və valyutasını anlamaq heç vaxt bu",5,9.59 AZN,David Kristal,Yumşaq,https://static.insales-cdn.com/images/products/1/6294/745863318/medium_KICIK_DIL_KITABI_qapaq.png
Rene Dekartla 90 dəqiqə,"Fransız filosofu və riyaziyyatçısı Rene Dekart tarixdə yüz ən çox öyrənilmiş şəxsiyyətlər siyahısına daxildir. O, müasir analitik həndəsənin əsasını qoyub. Həndəsəyə koordinat anlayışını tətbiq edib. Bu anlayışın köməyi ilə sahənin",5,3.19 AZN,Pol Stretern,Yumşaq,https://static.insales-cdn.com/images/products/1/4122/745869338/medium_Dekartla_qapaq.png
Nağıllar və qaravəllilər,"Qaravәlli vә nağılları çapa һazırlayarkәn onların dilini dialektlikdәn demәk olar ki, çıxartdıq. Lakin cümlә quruluşlarına әl vurmamağa çalışdıq.Nağıllarda ara-sıra real һәyat sәһnәlәrinә (mәs: “İbraһim şaһın nağılı”nda mәktәb uşaqlarının buraxılış",5,5.99 AZN,,Yumşaq,https://static.insales-cdn.com/images/products/1/78/745873486/medium_NAGILLAR_VE_QARAVELLILER_qapaq.png
Fantom,Az qala həyatı bahasına başa gələn bir işin dəhşətlərindən sonra Harri Hole Oslonu və polis qüvvələrini çox arxada qoydu.  Harri Hole Honqkonqa köçəndə elə fikirləşirdi,5,11.99 AZN,Jo Nesbo,Yumşaq,https://static.insales-cdn.com/images/products/1/2725/745876133/medium_FANTOM_qapaq.png
Özümlə söhbət,,5,4 AZN,Xəyalə Miskərli,Yumşaq,https://static.insales-cdn.com/images/products/1/4722/745099890/medium_OZUMLE_SOHBET_qapaq_.jpg
